Year,Block Number,Habitat Type,Flight Code,Bull Count,Cow Count,Calf Count,Count of unknown individuals ,Count of moose tracks,Total count
Année,Numéro du bloc,Type d'habitat,Code de vol,Nombre de mâles,Nombre de femelles,Nombre de veaux,Nombre d'individus inconnus,Nombre de pistes d'orignaux,Nombre total
2016,Y,HWD,1,0,0,0,0,0,0
2016,Y,HWD,2,0,0,0,0,0,0
2016,Z,HWD,1,0,0,0,0,0,0
2016,Z,HWD,2,0,0,0,0,0,0
2016,A,Regen,1,0,0,0,0,0,0
2016,A,Regen,2,0,0,0,0,0,0
2016,B,Regen,1,0,0,0,0,1,1
2016,B,Regen,2,1,2,1,0,1,5
2016,BB,Regen,1,0,0,0,0,1,1
2016,BB,Regen,2,0,0,0,0,1,1
2016,C,Regen,1,2,1,1,0,1,5
2016,C,Regen,2,0,0,0,0,2,2
2016,CC,Regen,1,0,0,0,0,0,0
2016,CC,Regen,2,0,1,0,1,0,2
2016,D,Regen,1,0,0,0,0,1,1
2016,D,Regen,2,0,0,0,0,1,1
2016,DD,Regen,1,0,0,0,0,0,0
2016,DD,Regen,2,0,0,0,0,0,0
2016,E,Regen,1,0,0,0,0,0,0
2016,E,Regen,2,0,0,0,0,0,0
2016,F,Regen,1,0,0,0,0,0,0
2016,F,Regen,2,0,0,0,0,0,0
2016,G,Regen,1,2,1,1,0,0,4
2016,G,Regen,2,1,2,2,0,0,5
2016,H,Regen,1,0,0,0,0,1,1
2016,H,Regen,2,0,2,0,0,0,2
2016,I,Regen,1,2,0,0,0,0,2
2016,I,Regen,2,0,1,1,0,0,2
2016,J,Regen,1,0,0,0,0,0,0
2016,J,Regen,2,0,0,0,0,0,0
2016,K,Regen,1,0,0,0,0,0,0
2016,K,Regen,2,0,0,0,0,0,0
2016,L,Regen,1,1,1,1,0,0,3
2016,L,Regen,2,0,0,0,0,0,0
2016,M,Regen,1,0,0,0,0,0,0
2016,M,Regen,2,0,0,0,0,0,0
2016,U,Regen,1,0,0,0,0,0,0
2016,U,Regen,2,0,0,0,0,0,0
2016,V,Regen,1,0,0,0,0,0,0
2016,V,Regen,2,0,0,0,0,0,0
2016,W,Regen,1,0,0,0,0,0,0
2016,W,Regen,2,0,0,0,0,0,0
2016,N,SWD,1,0,0,0,0,0,0
2016,N,SWD,2,0,0,0,0,0,0
2016,O,SWD,1,0,0,0,0,0,0
2016,O,SWD,2,0,0,0,0,0,0
2016,P,SWD,1,0,0,0,0,0,0
2016,P,SWD,2,0,0,0,0,0,0
2016,Q,SWD,1,0,0,0,0,0,0
2016,Q,SWD,2,0,0,0,0,0,0
2016,R,SWD,1,0,0,0,0,0,0
2016,R,SWD,2,0,0,0,0,0,0
2016,S,SWD,1,0,0,0,0,0,0
2016,S,SWD,2,0,0,0,0,0,0
2016,T,SWD,1,0,0,0,0,0,0
2016,T,SWD,2,0,0,0,0,0,0
2016,X,SWD,1,0,0,0,0,1,1
2016,X,SWD,2,0,0,0,0,1,1
